E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_21_426.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_21_426.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_21_426.jpg, 0, 0, 0, 8.180379E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_21_524.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_21_524.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_21_524.jpg, 0, 0, 0, 7.80225E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_21_626.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_21_626.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_21_626.jpg, 0, 0, 0, 7.807829E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_21_728.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_21_728.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_21_728.jpg, 0, 0, 0, 7.796197E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_21_828.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_21_828.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_21_828.jpg, 0, 0, 0, 7.812299E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_21_930.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_21_930.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_21_930.jpg, 0, 0, 0, 7.822969E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_22_031.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_22_031.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_22_031.jpg, 0, 0, 0, 7.828634E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_22_132.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_22_132.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_22_132.jpg, 0, 0, 0, 7.899515E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_22_235.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_22_235.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_22_235.jpg, 0, 0, 0, 7.774628E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_22_335.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_22_335.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_22_335.jpg, 0, 0, 0, 7.949022E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_22_437.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_22_437.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_22_437.jpg, 0, 0, 0, 7.798241E-05
E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\center_2023_01_09_14_04_22_539.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\left_2023_01_09_14_04_22_539.jpg, E:\Daily_Online_Learning\My_Learning_2022\self_driving_car\self_driving_data\IMG\right_2023_01_09_14_04_22_539.jpg, 0, 0, 0, 7.773507E-05
